cycle,model,perturbation,value,mu_start,mu_end,DM_start,DM_end,dDMdt_start,dDMdt_end
quasi_steady,multiplicative,N_scale,1.15,0.22199830782214305,0.22187809408071354,0.001878316,2.2757856043760354,0.00041698297355525647,0.5049469724352795
usable,dynamic,N_scale,1.3,0.36640174705000256,0.08554416831469125,0.001878316,2.5966677735382255,0.0006882182639119727,0.22212978507688855
usable,rmnd,N_scale,1.3,0.35704412455794693,0.09378749724857033,0.001878316,2.541308299384766,0.0006706416918631847,0.2383429451363177
usable,smnd,N_scale,1.3,0.3697231323940974,0.07833050292646537,0.001878316,2.428550890356632,0.0006944568751459515,0.19022961262415025
usable,liebig,N_scale,1.3,0.23321620596799228,0.22954451331771136,0.001878316,3.073893944693676,0.0004380537311289754,0.7055954895249699
usable,multiplicative,N_scale,1.3,0.2311981602302106,0.22722835623767987,0.001878316,2.8670686701006933,0.00043426320353096823,0.6514793011275314
quasi_steady,dynamic,N_scale,1.3,0.36328149716808344,0.08553303252123162,0.001878316,2.473397761579628,0.0006823574486347658,0.21155721117913182
quasi_steady,rmnd,N_scale,1.3,0.35363285181675685,0.09377533627325696,0.001878316,2.4097527317459537,0.0006642342436930435,0.2259753727548764
quasi_steady,smnd,N_scale,1.3,0.36536927346929,0.0783150183996818,0.001878316,2.2693656453789206,0.000686278952265743,0.17772541227345592
quasi_steady,liebig,N_scale,1.3,0.22963511242196777,0.22953182576250733,0.001878316,2.9073653491845826,0.00043132730582398084,0.6673328767569869
quasi_steady,multiplicative,N_scale,1.3,0.2273261727435888,0.22721465851164657,0.001878316,2.6995761626419275,0.00042699038748304676,0.6133832759208668
usable,dynamic,start_shift_days,-5.0,0.35738865111670476,0.075838213866184,0.001878316,1.9444762710566617,0.0006712888216109244,0.14746560730211508
usable,rmnd,start_shift_days,-5.0,0.34720983484230405,0.08321976134285747,0.001878316,1.8542017513110338,0.0006521697881416573,0.1543062272256126
usable,smnd,start_shift_days,-5.0,0.35722427162918735,0.06496493827309241,0.001878316,1.628615281658459,0.0006709800649894487,0.1058028912435568
usable,liebig,start_shift_days,-5.0,0.22300495335129264,0.21869907258069282,0.001878316,2.219911145181156,0.0004188737719589866,0.4854925086626626
usable,multiplicative,start_shift_days,-5.0,0.22018626987084228,0.21556927772644016,0.001878316,2.0195374026674178,0.000413579393678721,0.4353502192345462
quasi_steady,dynamic,start_shift_days,-5.0,0.35375409444507866,0.07561125073503117,0.001878316,1.8017954734428983,0.0006644619756617025,0.13623600931573518
quasi_steady,rmnd,start_shift_days,-5.0,0.3432609090938997,0.08297353106833766,0.001878316,1.7069271186358537,0.0006447524577256173,0.1416297703095201
quasi_steady,smnd,start_shift_days,-5.0,0.3522505779704355,0.06465578020227003,0.001878316,1.4675640445535298,0.0006616378966111166,0.09488649829740745
quasi_steady,liebig,start_shift_days,-5.0,0.2189999958398516,0.2184513648182767,0.001878316,2.041657589837382,0.00041135119618592673,0.4460028869915695
quasi_steady,multiplicative,start_shift_days,-5.0,0.2158914353960037,0.21530414785486304,0.001878316,1.8462608996536471,0.00040551233736728007,0.39750762971768133
usable,dynamic,start_shift_days,-2.0,0.3572934255015691,0.07568061531960679,0.001878316,1.9255708812024068,0.0006711099578144053,0.14572838913091563
usable,rmnd,start_shift_days,-2.0,0.3471062500867899,0.08304878011977862,0.001878316,1.8346281720468116,0.000651975223238019,0.15236363166186703
